Employee_No,Employee_Code,Name,Title,Address_Line_3,Date_of_Birth,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Status_Reason,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,,,
520,3665,Willa Kunde,Mr,Navula,0000-00-00,Male,1,Married,1,1/1/2019,0000-00-00,Inactive,Resigned,6/30/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
521,3679,Dr Jaden Conn,Mr,"muruthlawa,kandy",0000-00-00,Male,1,Married,1,1/1/2019,11/30/2020,Inactive,RESIGN,11/30/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
523,3702,Hallie Parker,Ms,Weligama,4/17/1970,Female,1,Married,31,1/1/2019,0000-00-00,Active,,0000-00-00,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
527,193122,Myron Collier,Mr,,12/20/1967,Male,1,Married,31,12/1/2020,4/29/2021,Inactive,RESIGN,4/29/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,,,
532,5043,Andreanne Roberts,Mr,Dehiaththakandiya,2/13/1994,Male,1,Married,1,1/9/2019,0000-00-00,Inactive,Resign,12/31/2020,\N,\N,Labour,Contarct Basis,Buddhist,Skilled Labor,,,
534,3809,Tania Bode,Mr,mullaitivu,10/9/1997,Male,3,Single,31,1/1/2019,1/12/2022,Inactive,RESIGN,1/12/2022,\N,\N,Labour,Contarct Basis,Hindu,Unskilled Labor,,,
536,3826,Prof Paris Homenick,Mr,Mullaitivu,1/27/1997,Male,5,Single,69,2/16/2018,0000-00-00,Inactive,RESIGN,2/28/2021,\N,\N,Staff,Contarct Basis,Muslim,Site Supervisor,,,
537,3830,Hope Ward,Mr,Kuliyapitiya,9/28/1991,Male,1,,107,2/22/2018,\N,Active,,\N,1333,\N,Staff,Contarct Basis,Buddhist,Social Environment Officer,,,
538,3877,Mr Bartholome Hintz,Mr,,4/23/1994,Male,5,Single,27,4/18/2018,\N,Inactive,Resign,8/11/2020,\N,\N,Staff,Contarct Basis,Muslim,Supervisor,,,
539,3879,Mr Archibald Abshire,Mr,,4/15/1993,Male,1,Single,43,4/20/2018,0000-00-00,Inactive,Resign,5/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Operator - JCB,,,
540,4888,Leilani Nikolaus,Ms,Galle,3/11/1995,Female,1,Single,88,10/2/2019,0000-00-00,Inactive,Resign,6/30/2020,\N,\N,Staff,Contarct Basis,Buddhist,Trainee QS,,,
541,4901,Carmen Dickinson,Miss,Hikkaduwa,8/13/1994,Female,1,Single,111,10/22/2019,\N,Inactive,Resign,8/31/2020,\N,\N,Staff,Contarct Basis,Buddhist,Management Trainee,,,
542,3361,Dax Bernhard,Mr,Mattegoda,10/25/1960,Male,1,Married,24,7/11/2017,12/5/2020,Inactive,RESIGN,12/5/2020,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
545,4686,Brenden Hartmann IV,Mr,Mawanella,8/27/1990,Male,1,Single,89,4/22/2019,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Planning Engineer,,,
546,4759,Terrence Lehner,Mr,Nugegoda,8/15/1978,Male,1,Married,97,6/6/2019,\N,Inactive,Resigned,6/19/2020,\N,\N,Management,Contarct Basis,Buddhist,Foreman,,,
549,199055,Darius Zulauf,Mr,,6/21/2001,Male,1,Single,101,12/5/2020,5/31/2021,Inactive,RESIGN,5/31/2021,\N,\N,Staff,Contarct Basis,Buddhist,Excavator Operator,,,
550,4882,Dr Adrien Beahan,Mr,Handapangoda,9/19/1973,Male,1,Married,24,9/1/2019,12/31/2022,Inactive,Resign,12/27/2022,\N,\N,Staff,Contarct Basis,Buddhist,Driver,,,
551,4889,Ilene Goyette,Mr,"Mawala, Wadduwa",7/17/1984,Female,1,Single,175,10/14/2019,0000-00-00,Active,,0000-00-00,\N,\N,Staff,Contarct Basis,Buddhist,Store Supervisor,,,
553,4902,Odessa Crist Sr,Mr,,11/24/1996,Male,1,Single,17,10/25/2019,0000-00-00,Inactive,Resign,3/10/2020,\N,\N,Staff,Contarct Basis,Buddhist,Account Executive,,,
554,4132,Prof Jacynthe Kulas,Mr,Galle,9/14/1992,Male,1,Single,78,7/19/2018,\N,Inactive,Resign,7/17/2020,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,,,
